state,state_abbreviation,county,party,candidate,votes,fraction_votes
Alabama,AL,Marengo,Democrat,Bernie Sanders,1092,0.2
Alabama,AL,Marengo,Democrat,Hillary Clinton,3590,0.6580000000000000
Alabama,AL,Marion,Democrat,Bernie Sanders,256,0.29600000000000000
Alabama,AL,Marion,Democrat,Hillary Clinton,567,0.655
Alabama,AL,Marshall,Democrat,Bernie Sanders,821,0.341
Alabama,AL,Marshall,Democrat,Hillary Clinton,1494,0.621
Alabama,AL,Mobile,Democrat,Bernie Sanders,5672,0.162
Alabama,AL,Mobile,Democrat,Hillary Clinton,28927,0.8270000000000000
Alabama,AL,Monroe,Democrat,Bernie Sanders,205,0.076
Alabama,AL,Monroe,Democrat,Hillary Clinton,2438,0.909
Alabama,AL,Montgomery,Democrat,Bernie Sanders,4266,0.128
Alabama,AL,Montgomery,Democrat,Hillary Clinton,28650,0.862
Alabama,AL,Morgan,Democrat,Bernie Sanders,1345,0.252
Alabama,AL,Morgan,Democrat,Hillary Clinton,3897,0.731
Alabama,AL,Perry,Democrat,Bernie Sanders,389,0.124
Alabama,AL,Perry,Democrat,Hillary Clinton,2575,0.82
Alabama,AL,Pickens,Democrat,Bernie Sanders,453,0.14800000000000000
Alabama,AL,Pickens,Democrat,Hillary Clinton,2326,0.762
Alabama,AL,Pike,Democrat,Bernie Sanders,379,0.145
Alabama,AL,Pike,Democrat,Hillary Clinton,2183,0.8370000000000000
Alabama,AL,Randolph,Democrat,Bernie Sanders,328,0.187
Alabama,AL,Randolph,Democrat,Hillary Clinton,1236,0.706
Alabama,AL,Russell,Democrat,Bernie Sanders,988,0.16400000000000000
Alabama,AL,Russell,Democrat,Hillary Clinton,4381,0.728
Alabama,AL,Shelby,Democrat,Bernie Sanders,3755,0.354
Alabama,AL,Shelby,Democrat,Hillary Clinton,6657,0.628
Alabama,AL,St. Clair,Democrat,Bernie Sanders,745,0.28600000000000000
Alabama,AL,St. Clair,Democrat,Hillary Clinton,1808,0.693
Alabama,AL,Sumter,Democrat,Bernie Sanders,416,0.113
Alabama,AL,Sumter,Democrat,Hillary Clinton,2987,0.809
Alabama,AL,Talladega,Democrat,Bernie Sanders,782,0.122
Alabama,AL,Talladega,Democrat,Hillary Clinton,5561,0.865
Alabama,AL,Tallapoosa,Democrat,Bernie Sanders,308,0.102
Alabama,AL,Tallapoosa,Democrat,Hillary Clinton,2658,0.88
Alabama,AL,Tuscaloosa,Democrat,Bernie Sanders,3444,0.218
Alabama,AL,Tuscaloosa,Democrat,Hillary Clinton,12136,0.767
Alabama,AL,Walker,Democrat,Bernie Sanders,727,0.275
Alabama,AL,Walker,Democrat,Hillary Clinton,1772,0.6710000000000000
Alabama,AL,Washington,Democrat,Bernie Sanders,562,0.214
Alabama,AL,Washington,Democrat,Hillary Clinton,1511,0.575
Alabama,AL,Wilcox,Democrat,Bernie Sanders,410,0.10400000000000000
Alabama,AL,Wilcox,Democrat,Hillary Clinton,3337,0.843
Alabama,AL,Winston,Democrat,Bernie Sanders,138,0.304
Alabama,AL,Winston,Democrat,Hillary Clinton,303,0.667
Alabama,AL,Autauga,Republican,Ben Carson,1764,0.146
Alabama,AL,Autauga,Republican,Donald Trump,5387,0.445
Alabama,AL,Autauga,Republican,John Kasich,421,0.035
Alabama,AL,Autauga,Republican,Marco Rubio,1785,0.14800000000000000
