county,candidate,party,votes,votesm
Grand,Bernie Sanders,Democrat,187,0.187
Grand,Hillary Clinton,Democrat,94,0.094
Gunnison,Bernie Sanders,Democrat,481,0.481
Gunnison,Hillary Clinton,Democrat,141,0.141
Hinsdale,Bernie Sanders,Democrat,10,0.01
Hinsdale,Hillary Clinton,Democrat,3,0.003
Huerfano,Bernie Sanders,Democrat,150,0.15
Huerfano,Hillary Clinton,Democrat,93,0.093
Jackson,Bernie Sanders,Democrat,12,0.012
Jackson,Hillary Clinton,Democrat,15,0.015
Jefferson,Bernie Sanders,Democrat,8281,8.281
Jefferson,Hillary Clinton,Democrat,5478,5.478
Kiowa,Bernie Sanders,Democrat,2,0.002
Kiowa,Hillary Clinton,Democrat,5,0.005
Kit Carson,Bernie Sanders,Democrat,16,0.016
Kit Carson,Hillary Clinton,Democrat,11,0.011
La Plata,Bernie Sanders,Democrat,1466,1.466
La Plata,Hillary Clinton,Democrat,819,0.819
Lake,Bernie Sanders,Democrat,165,0.165
Lake,Hillary Clinton,Democrat,53,0.053
Larimer,Bernie Sanders,Democrat,6664,6.664
Larimer,Hillary Clinton,Democrat,3231,3.231
Las Animas,Bernie Sanders,Democrat,106,0.106
Las Animas,Hillary Clinton,Democrat,80,0.08
Lincoln,Bernie Sanders,Democrat,14,0.014
Lincoln,Hillary Clinton,Democrat,20,0.02
Logan,Bernie Sanders,Democrat,70,0.07
Logan,Hillary Clinton,Democrat,77,0.077
Mesa,Bernie Sanders,Democrat,1095,1.095
Mesa,Hillary Clinton,Democrat,791,0.791
Mineral,Bernie Sanders,Democrat,25,0.025
Mineral,Hillary Clinton,Democrat,16,0.016
Moffat,Bernie Sanders,Democrat,28,0.028
Moffat,Hillary Clinton,Democrat,21,0.021
Montezuma,Bernie Sanders,Democrat,412,0.412
Montezuma,Hillary Clinton,Democrat,198,0.198
Montrose,Bernie Sanders,Democrat,258,0.258
Montrose,Hillary Clinton,Democrat,210,0.21
Morgan,Bernie Sanders,Democrat,87,0.087
Morgan,Hillary Clinton,Democrat,70,0.07
Otero,Bernie Sanders,Democrat,94,0.094
Otero,Hillary Clinton,Democrat,78,0.078
Ouray,Bernie Sanders,Democrat,156,0.156
Ouray,Hillary Clinton,Democrat,86,0.086
Park,Bernie Sanders,Democrat,231,0.231
Park,Hillary Clinton,Democrat,118,0.118
Phillips,Bernie Sanders,Democrat,18,0.018
Phillips,Hillary Clinton,Democrat,11,0.011
Pitkin,Bernie Sanders,Democrat,421,0.421
Pitkin,Hillary Clinton,Democrat,349,0.349
Prowers,Bernie Sanders,Democrat,18,0.018
Prowers,Hillary Clinton,Democrat,40,0.04
Pueblo,Bernie Sanders,Democrat,1140,1.14
Pueblo,Hillary Clinton,Democrat,1260,1.26
Rio Blanco,Bernie Sanders,Democrat,18,0.018
Rio Blanco,Hillary Clinton,Democrat,8,0.008
Rio Grande,Bernie Sanders,Democrat,59,0.059
Rio Grande,Hillary Clinton,Democrat,47,0.047
Routt,Bernie Sanders,Democrat,406,0.406
Routt,Hillary Clinton,Democrat,230,0.23
Saguache,Bernie Sanders,Democrat,219,0.219
Saguache,Hillary Clinton,Democrat,47,0.047
San Juan,Bernie Sanders,Democrat,27,0.027
San Juan,Hillary Clinton,Democrat,11,0.011
San Miguel,Bernie Sanders,Democrat,329,0.329
San Miguel,Hillary Clinton,Democrat,89,0.089
Sedgwick,Bernie Sanders,Democrat,8,0.008
Sedgwick,Hillary Clinton,Democrat,13,0.013
Summit,Bernie Sanders,Democrat,419,0.419
Summit,Hillary Clinton,Democrat,276,0.276
Teller,Bernie Sanders,Democrat,219,0.219
Teller,Hillary Clinton,Democrat,126,0.126
Washington,Bernie Sanders,Democrat,12,0.012
Washington,Hillary Clinton,Democrat,10,0.01
Weld,Bernie Sanders,Democrat,1647,1.647
Weld,Hillary Clinton,Democrat,1043,1.043
Yuma,Bernie Sanders,Democrat,33,0.033
Yuma,Hillary Clinton,Democrat,45,0.045
Andover,Bernie Sanders,Democrat,259,0.259
Andover,Hillary Clinton,Democrat,145,0.145
Ansonia,Bernie Sanders,Democrat,610,0.61
Ansonia,Hillary Clinton,Democrat,582,0.582
Ashford,Bernie Sanders,Democrat,377,0.377
Ashford,Hillary Clinton,Democrat,212,0.212
Avon,Bernie Sanders,Democrat,771,0.771
Avon,Hillary Clinton,Democrat,1097,1.097
Barkhamsted,Bernie Sanders,Democrat,210,0.21
Barkhamsted,Hillary Clinton,Democrat,137,0.137
Beacon Falls,Bernie Sanders,Democrat,270,0.27
Beacon Falls,Hillary Clinton,Democrat,150,0.15
Berlin,Bernie Sanders,Democrat,1108,1.108
Berlin,Hillary Clinton,Democrat,1007,1.007
Bethany,Bernie Sanders,Democrat,376,0.376
Bethany,Hillary Clinton,Democrat,310,0.31
Bethel,Bernie Sanders,Democrat,837,0.837
Bethel,Hillary Clinton,Democrat,737,0.737
Bethlehem,Bernie Sanders,Democrat,226,0.226
Bethlehem,Hillary Clinton,Democrat,144,0.144
Bloomfield,Bernie Sanders,Democrat,942,0.942
Bloomfield,Hillary Clinton,Democrat,2821,2.821
Bolton,Bernie Sanders,Democrat,350,0.35
Bolton,Hillary Clinton,Democrat,251,0.251
Bozrah,Bernie Sanders,Democrat,163,0.163
Bozrah,Hillary Clinton,Democrat,102,0.102
Branford,Bernie Sanders,Democrat,1684,1.684
Branford,Hillary Clinton,Democrat,1626,1.626
Bridgeport,Bernie Sanders,Democrat,3756,3.756
Bridgeport,Hillary Clinton,Democrat,7278,7.278
Bridgewater,Bernie Sanders,Democrat,125,0.125
Bridgewater,Hillary Clinton,Democrat,95,0.095
Bristol,Bernie Sanders,Democrat,2735,2.735
Bristol,Hillary Clinton,Democrat,2235,2.235
Brookfield,Bernie Sanders,Democrat,620,0.62
Brookfield,Hillary Clinton,Democrat,598,0.598
Brooklyn,Bernie Sanders,Democrat,315,0.315
Brooklyn,Hillary Clinton,Democrat,225,0.225
Burlington,Bernie Sanders,Democrat,459,0.459
Burlington,Hillary Clinton,Democrat,402,0.402
Canaan,Bernie Sanders,Democrat,126,0.126
Canaan,Hillary Clinton,Democrat,54,0.054
Canterbury,Bernie Sanders,Democrat,212,0.212
Canterbury,Hillary Clinton,Democrat,133,0.133
Canton,Bernie Sanders,Democrat,674,0.674
Canton,Hillary Clinton,Democrat,540,0.54
Chaplin,Bernie Sanders,Democrat,140,0.14
Chaplin,Hillary Clinton,Democrat,69,0.069
Cheshire,Bernie Sanders,Democrat,1254,1.254
Cheshire,Hillary Clinton,Democrat,1342,1.342
Chester,Bernie Sanders,Democrat,361,0.361
Chester,Hillary Clinton,Democrat,277,0.277
Clinton,Bernie Sanders,Democrat,723,0.723
Clinton,Hillary Clinton,Democrat,632,0.632
Colchester,Bernie Sanders,Democrat,977,0.977
Colchester,Hillary Clinton,Democrat,624,0.624
Colebrook,Bernie Sanders,Democrat,86,0.086
Colebrook,Hillary Clinton,Democrat,53,0.053
Columbia,Bernie Sanders,Democrat,408,0.408
Columbia,Hillary Clinton,Democrat,267,0.267
Cornwall,Bernie Sanders,Democrat,199,0.199
Cornwall,Hillary Clinton,Democrat,141,0.141
Coventry,Bernie Sanders,Democrat,761,0.761
Coventry,Hillary Clinton,Democrat,521,0.521
Cromwell,Bernie Sanders,Democrat,718,0.718
Cromwell,Hillary Clinton,Democrat,731,0.731
Danbury,Bernie Sanders,Democrat,1907,1.907
Danbury,Hillary Clinton,Democrat,2319,2.319
Darien,Bernie Sanders,Democrat,363,0.363
Darien,Hillary Clinton,Democrat,832,0.832
Deep River,Bernie Sanders,Democrat,339,0.339
Deep River,Hillary Clinton,Democrat,242,0.242
Derby,Bernie Sanders,Democrat,493,0.493
Derby,Hillary Clinton,Democrat,459,0.459
Durham,Bernie Sanders,Democrat,408,0.408
Durham,Hillary Clinton,Democrat,303,0.303
East Granby,Bernie Sanders,Democrat,283,0.283
East Granby,Hillary Clinton,Democrat,244,0.244
East Haddam,Bernie Sanders,Democrat,570,0.57
East Haddam,Hillary Clinton,Democrat,407,0.407
East Hampton,Bernie Sanders,Democrat,738,0.738
East Hampton,Hillary Clinton,Democrat,506,0.506
East Hartford,Bernie Sanders,Democrat,1821,1.821
East Hartford,Hillary Clinton,Democrat,2419,2.419
East Haven,Bernie Sanders,Democrat,915,0.915
East Haven,Hillary Clinton,Democrat,937,0.937
East Lyme,Bernie Sanders,Democrat,972,0.972
East Lyme,Hillary Clinton,Democrat,1011,1.011
East Windsor,Bernie Sanders,Democrat,498,0.498
East Windsor,Hillary Clinton,Democrat,371,0.371
Eastford,Bernie Sanders,Democrat,117,0.117
Eastford,Hillary Clinton,Democrat,62,0.062
Easton,Bernie Sanders,Democrat,313,0.313
Easton,Hillary Clinton,Democrat,394,0.394
Ellington,Bernie Sanders,Democrat,647,0.647
Ellington,Hillary Clinton,Democrat,499,0.499
Enfield,Bernie Sanders,Democrat,1765,1.765
Enfield,Hillary Clinton,Democrat,1375,1.375
Essex,Bernie Sanders,Democrat,458,0.458
Essex,Hillary Clinton,Democrat,513,0.513
Fairfield,Bernie Sanders,Democrat,2358,2.358
Fairfield,Hillary Clinton,Democrat,3505,3.505
Farmington,Bernie Sanders,Democrat,1278,1.278
Farmington,Hillary Clinton,Democrat,1302,1.302
Franklin,Bernie Sanders,Democrat,100,0.1
Franklin,Hillary Clinton,Democrat,56,0.056
Glastonbury,Bernie Sanders,Democrat,1830,1.83
Glastonbury,Hillary Clinton,Democrat,1985,1.985
Goshen,Bernie Sanders,Democrat,201,0.201
Goshen,Hillary Clinton,Democrat,106,0.106
Granby,Bernie Sanders,Democrat,715,0.715
Granby,Hillary Clinton,Democrat,508,0.508
Greenwich,Bernie Sanders,Democrat,1443,1.443
Greenwich,Hillary Clinton,Democrat,3206,3.206
Griswold,Bernie Sanders,Democrat,549,0.549
Griswold,Hillary Clinton,Democrat,326,0.326
Groton,Bernie Sanders,Democrat,1536,1.536
Groton,Hillary Clinton,Democrat,1332,1.332
Guilford,Bernie Sanders,Democrat,1483,1.483
Guilford,Hillary Clinton,Democrat,1812,1.812
Haddam,Bernie Sanders,Democrat,604,0.604
Haddam,Hillary Clinton,Democrat,437,0.437
Hamden,Bernie Sanders,Democrat,3641,3.641
Hamden,Hillary Clinton,Democrat,4914,4.914
Hampton,Bernie Sanders,Democrat,137,0.137
Hampton,Hillary Clinton,Democrat,111,0.111
Hartford,Bernie Sanders,Democrat,3150,3.15
Hartford,Hillary Clinton,Democrat,7413,7.413
Hartland,Bernie Sanders,Democrat,113,0.113
Hartland,Hillary Clinton,Democrat,51,0.051
Harwinton,Bernie Sanders,Democrat,274,0.274
Harwinton,Hillary Clinton,Democrat,177,0.177
Hebron,Bernie Sanders,Democrat,528,0.528
Hebron,Hillary Clinton,Democrat,415,0.415
Kent,Bernie Sanders,Democrat,279,0.279
Kent,Hillary Clinton,Democrat,264,0.264
Killingly,Bernie Sanders,Democrat,567,0.567
Killingly,Hillary Clinton,Democrat,319,0.319
Killingworth,Bernie Sanders,Democrat,357,0.357
Killingworth,Hillary Clinton,Democrat,356,0.356
Lebanon,Bernie Sanders,Democrat,466,0.466
Lebanon,Hillary Clinton,Democrat,235,0.235
Ledyard,Bernie Sanders,Democrat,631,0.631
Ledyard,Hillary Clinton,Democrat,525,0.525
Lisbon,Bernie Sanders,Democrat,231,0.231
Lisbon,Hillary Clinton,Democrat,145,0.145
Litchfield,Bernie Sanders,Democrat,478,0.478
Litchfield,Hillary Clinton,Democrat,399,0.399
Lyme,Bernie Sanders,Democrat,188,0.188
Lyme,Hillary Clinton,Democrat,206,0.206
Madison,Bernie Sanders,Democrat,902,0.902
Madison,Hillary Clinton,Democrat,1154,1.154
Manchester,Bernie Sanders,Democrat,2990,2.99
Manchester,Hillary Clinton,Democrat,2574,2.574
Mansfield,Bernie Sanders,Democrat,2171,2.171
Mansfield,Hillary Clinton,Democrat,1051,1.051
Marlborough,Bernie Sanders,Democrat,382,0.382
Marlborough,Hillary Clinton,Democrat,343,0.343
Meriden,Bernie Sanders,Democrat,1813,1.813
Meriden,Hillary Clinton,Democrat,1948,1.948
Middlebury,Bernie Sanders,Democrat,324,0.324
Middlebury,Hillary Clinton,Democrat,271,0.271
Middlefield,Bernie Sanders,Democrat,277,0.277
Middlefield,Hillary Clinton,Democrat,195,0.195
Middletown,Bernie Sanders,Democrat,2858,2.858
Middletown,Hillary Clinton,Democrat,2481,2.481
Milford,Bernie Sanders,Democrat,2238,2.238
Milford,Hillary Clinton,Democrat,2186,2.186
Monroe,Bernie Sanders,Democrat,668,0.668
Monroe,Hillary Clinton,Democrat,643,0.643
Montville,Bernie Sanders,Democrat,732,0.732
Montville,Hillary Clinton,Democrat,504,0.504
Morris,Bernie Sanders,Democrat,122,0.122
Morris,Hillary Clinton,Democrat,90,0.09
Naugatuck,Bernie Sanders,Democrat,1205,1.205
Naugatuck,Hillary Clinton,Democrat,757,0.757
New Britain,Bernie Sanders,Democrat,2346,2.346
New Britain,Hillary Clinton,Democrat,2665,2.665
New Canaan,Bernie Sanders,Democrat,370,0.37
New Canaan,Hillary Clinton,Democrat,967,0.967
New Fairfield,Bernie Sanders,Democrat,475,0.475
New Fairfield,Hillary Clinton,Democrat,425,0.425
New Hartford,Bernie Sanders,Democrat,440,0.44
New Hartford,Hillary Clinton,Democrat,250,0.25
New Haven,Bernie Sanders,Democrat,7062,7.062
New Haven,Hillary Clinton,Democrat,9710,9.71
New London,Bernie Sanders,Democrat,1343,1.343
New London,Hillary Clinton,Democrat,1156,1.156
New Milford,Bernie Sanders,Democrat,1186,1.186
New Milford,Hillary Clinton,Democrat,882,0.882
Newington,Bernie Sanders,Democrat,1632,1.632
Newington,Hillary Clinton,Democrat,1631,1.631
Newtown,Bernie Sanders,Democrat,1177,1.177
Newtown,Hillary Clinton,Democrat,1362,1.362
Norfolk,Bernie Sanders,Democrat,141,0.141
Norfolk,Hillary Clinton,Democrat,129,0.129
North Branford,Bernie Sanders,Democrat,496,0.496
North Branford,Hillary Clinton,Democrat,502,0.502
North Canaan,Bernie Sanders,Democrat,186,0.186
North Canaan,Hillary Clinton,Democrat,97,0.097
North Haven,Bernie Sanders,Democrat,1003,1.003
North Haven,Hillary Clinton,Democrat,1080,1.08
North Stonington,Bernie Sanders,Democrat,276,0.276
North Stonington,Hillary Clinton,Democrat,201,0.201
Norwalk,Bernie Sanders,Democrat,2989,2.989
Norwalk,Hillary Clinton,Democrat,4457,4.457
Norwich,Bernie Sanders,Democrat,1606,1.606
Norwich,Hillary Clinton,Democrat,1238,1.238
Old Lyme,Bernie Sanders,Democrat,434,0.434
Old Lyme,Hillary Clinton,Democrat,476,0.476
Old Saybrook,Bernie Sanders,Democrat,570,0.57
Old Saybrook,Hillary Clinton,Democrat,678,0.678
Orange,Bernie Sanders,Democrat,529,0.529
Orange,Hillary Clinton,Democrat,680,0.68
Oxford,Bernie Sanders,Democrat,404,0.404
Oxford,Hillary Clinton,Democrat,302,0.302
Plainfield,Bernie Sanders,Democrat,574,0.574
Plainfield,Hillary Clinton,Democrat,412,0.412
Plainville,Bernie Sanders,Democrat,839,0.839
Plainville,Hillary Clinton,Democrat,693,0.693
Plymouth,Bernie Sanders,Democrat,428,0.428
Plymouth,Hillary Clinton,Democrat,270,0.27
Pomfret,Bernie Sanders,Democrat,307,0.307
Pomfret,Hillary Clinton,Democrat,171,0.171
Portland,Bernie Sanders,Democrat,558,0.558
Portland,Hillary Clinton,Democrat,466,0.466
Preston,Bernie Sanders,Democrat,215,0.215
Preston,Hillary Clinton,Democrat,116,0.116
Prospect,Bernie Sanders,Democrat,353,0.353
Prospect,Hillary Clinton,Democrat,252,0.252
Putnam,Bernie Sanders,Democrat,359,0.359
Putnam,Hillary Clinton,Democrat,267,0.267
Redding,Bernie Sanders,Democrat,502,0.502
Redding,Hillary Clinton,Democrat,678,0.678
Ridgefield,Bernie Sanders,Democrat,1039,1.039
Ridgefield,Hillary Clinton,Democrat,1566,1.566
Rocky Hill,Bernie Sanders,Democrat,928,0.928
Rocky Hill,Hillary Clinton,Democrat,982,0.982
Roxbury,Bernie Sanders,Democrat,123,0.123
Roxbury,Hillary Clinton,Democrat,172,0.172
Salem,Bernie Sanders,Democrat,237,0.237
Salem,Hillary Clinton,Democrat,187,0.187
Salisbury,Bernie Sanders,Democrat,326,0.326
Salisbury,Hillary Clinton,Democrat,442,0.442
Scotland,Bernie Sanders,Democrat,102,0.102
Scotland,Hillary Clinton,Democrat,45,0.045
Seymour,Bernie Sanders,Democrat,601,0.601
Seymour,Hillary Clinton,Democrat,397,0.397
Sharon,Bernie Sanders,Democrat,185,0.185
Sharon,Hillary Clinton,Democrat,188,0.188
Shelton,Bernie Sanders,Democrat,1292,1.292
Shelton,Hillary Clinton,Democrat,1219,1.219
Sherman,Bernie Sanders,Democrat,173,0.173
Sherman,Hillary Clinton,Democrat,149,0.149
Simsbury,Bernie Sanders,Democrat,1280,1.28
Simsbury,Hillary Clinton,Democrat,1474,1.474
Somers,Bernie Sanders,Democrat,293,0.293
Somers,Hillary Clinton,Democrat,255,0.255
South Windsor,Bernie Sanders,Democrat,1351,1.351
South Windsor,Hillary Clinton,Democrat,1426,1.426
Southbury,Bernie Sanders,Democrat,832,0.832
Southbury,Hillary Clinton,Democrat,955,0.955
Southington,Bernie Sanders,Democrat,1763,1.763
Southington,Hillary Clinton,Democrat,1651,1.651
Sprague,Bernie Sanders,Democrat,180,0.18
Sprague,Hillary Clinton,Democrat,96,0.096
Stafford,Bernie Sanders,Democrat,668,0.668
Stafford,Hillary Clinton,Democrat,367,0.367
Stamford,Bernie Sanders,Democrat,3880,3.88
Stamford,Hillary Clinton,Democrat,7387,7.387
Sterling,Bernie Sanders,Democrat,124,0.124
Sterling,Hillary Clinton,Democrat,52,0.052
Stonington,Bernie Sanders,Democrat,1155,1.155
Stonington,Hillary Clinton,Democrat,1034,1.034
Stratford,Bernie Sanders,Democrat,1992,1.992
Stratford,Hillary Clinton,Democrat,2554,2.554
Suffield,Bernie Sanders,Democrat,617,0.617
Suffield,Hillary Clinton,Democrat,563,0.563
Thomaston,Bernie Sanders,Democrat,299,0.299
Thomaston,Hillary Clinton,Democrat,170,0.17
Thompson,Bernie Sanders,Democrat,360,0.36
Thompson,Hillary Clinton,Democrat,273,0.273
Tolland,Bernie Sanders,Democrat,806,0.806
Tolland,Hillary Clinton,Democrat,593,0.593
Torrington,Bernie Sanders,Democrat,1300,1.3
Torrington,Hillary Clinton,Democrat,843,0.843
Trumbull,Bernie Sanders,Democrat,1330,1.33
Trumbull,Hillary Clinton,Democrat,1556,1.556
Union,Bernie Sanders,Democrat,56,0.056
Union,Hillary Clinton,Democrat,25,0.025
Vernon,Bernie Sanders,Democrat,1356,1.356
Vernon,Hillary Clinton,Democrat,1022,1.022
Voluntown,Bernie Sanders,Democrat,139,0.139
Voluntown,Hillary Clinton,Democrat,51,0.051
Wallingford,Bernie Sanders,Democrat,1751,1.751
Wallingford,Hillary Clinton,Democrat,1632,1.632
Warren,Bernie Sanders,Democrat,89,0.089
Warren,Hillary Clinton,Democrat,56,0.056
Washington,Bernie Sanders,Democrat,236,0.236
Washington,Hillary Clinton,Democrat,252,0.252
Waterbury,Bernie Sanders,Democrat,2690,2.69
Waterbury,Hillary Clinton,Democrat,2937,2.937
Waterford,Bernie Sanders,Democrat,1005,1.005
Waterford,Hillary Clinton,Democrat,895,0.895
Watertown,Bernie Sanders,Democrat,771,0.771
Watertown,Hillary Clinton,Democrat,538,0.538
West Hartford,Bernie Sanders,Democrat,4429,4.429
West Hartford,Hillary Clinton,Democrat,5578,5.578
West Haven,Bernie Sanders,Democrat,2286,2.286
West Haven,Hillary Clinton,Democrat,2456,2.456
Westbrook,Bernie Sanders,Democrat,299,0.299
Westbrook,Hillary Clinton,Democrat,293,0.293
Weston,Bernie Sanders,Democrat,398,0.398
Weston,Hillary Clinton,Democrat,940,0.94
Westport,Bernie Sanders,Democrat,1087,1.087
Westport,Hillary Clinton,Democrat,2661,2.661
Wethersfield,Bernie Sanders,Democrat,1495,1.495
Wethersfield,Hillary Clinton,Democrat,1561,1.561
Willington,Bernie Sanders,Democrat,431,0.431
Willington,Hillary Clinton,Democrat,209,0.209
Wilton,Bernie Sanders,Democrat,626,0.626
Wilton,Hillary Clinton,Democrat,1216,1.216
Winchester,Bernie Sanders,Democrat,466,0.466
Winchester,Hillary Clinton,Democrat,239,0.239
Windham,Bernie Sanders,Democrat,1171,1.171
Windham,Hillary Clinton,Democrat,740,0.74
Windsor,Bernie Sanders,Democrat,1699,1.699
Windsor,Hillary Clinton,Democrat,2743,2.743
Windsor Locks,Bernie Sanders,Democrat,552,0.552
Windsor Locks,Hillary Clinton,Democrat,442,0.442
Wolcott,Bernie Sanders,Democrat,514,0.514
Wolcott,Hillary Clinton,Democrat,384,0.384
Woodbridge,Bernie Sanders,Democrat,546,0.546
Woodbridge,Hillary Clinton,Democrat,893,0.893
Woodbury,Bernie Sanders,Democrat,527,0.527
Woodbury,Hillary Clinton,Democrat,465,0.465
Woodstock,Bernie Sanders,Democrat,497,0.497
Woodstock,Hillary Clinton,Democrat,305,0.305
Andover,Donald Trump,Republican,163,0.163
Andover,John Kasich,Republican,81,0.081
Andover,Ted Cruz,Republican,42,0.042
Ansonia,Donald Trump,Republican,497,0.497
Ansonia,John Kasich,Republican,96,0.096
Ansonia,Ted Cruz,Republican,116,0.116
Ashford,Donald Trump,Republican,158,0.158
Ashford,John Kasich,Republican,70,0.07
Ashford,Ted Cruz,Republican,50,0.05
Avon,Donald Trump,Republican,1027,1.027
Avon,John Kasich,Republican,811,0.811
Avon,Ted Cruz,Republican,242,0.242
Barkhamsted,Donald Trump,Republican,242,0.242
Barkhamsted,John Kasich,Republican,127,0.127
Barkhamsted,Ted Cruz,Republican,68,0.068
Beacon Falls,Donald Trump,Republican,344,0.344
Beacon Falls,John Kasich,Republican,86,0.086
Beacon Falls,Ted Cruz,Republican,60,0.06
Berlin,Donald Trump,Republican,1256,1.256
Berlin,John Kasich,Republican,437,0.437
Berlin,Ted Cruz,Republican,180,0.18
Bethany,Donald Trump,Republican,379,0.379
Bethany,John Kasich,Republican,138,0.138
Bethany,Ted Cruz,Republican,70,0.07
Bethel,Donald Trump,Republican,1025,1.025
Bethel,John Kasich,Republican,372,0.372
Bethel,Ted Cruz,Republican,171,0.171
Bethlehem,Donald Trump,Republican,349,0.349
Bethlehem,John Kasich,Republican,84,0.084
Bethlehem,Ted Cruz,Republican,49,0.049
Bloomfield,Donald Trump,Republican,304,0.304
Bloomfield,John Kasich,Republican,291,0.291
Bloomfield,Ted Cruz,Republican,95,0.095
Bolton,Donald Trump,Republican,307,0.307
Bolton,John Kasich,Republican,144,0.144
Bolton,Ted Cruz,Republican,71,0.071
Bozrah,Donald Trump,Republican,109,0.109
Bozrah,John Kasich,Republican,42,0.042
Bozrah,Ted Cruz,Republican,28,0.028
Branford,Donald Trump,Republican,1009,1.009
Branford,John Kasich,Republican,419,0.419
Branford,Ted Cruz,Republican,230,0.23
Bridgeport,Donald Trump,Republican,694,0.694
Bridgeport,John Kasich,Republican,251,0.251
Bridgeport,Ted Cruz,Republican,215,0.215
Bridgewater,Donald Trump,Republican,147,0.147
Bridgewater,John Kasich,Republican,70,0.07
Bridgewater,Ted Cruz,Republican,31,0.031
Bristol,Donald Trump,Republican,1971,1.971
Bristol,John Kasich,Republican,620,0.62
Bristol,Ted Cruz,Republican,439,0.439
Brookfield,Donald Trump,Republican,1090,1.09
Brookfield,John Kasich,Republican,497,0.497
Brookfield,Ted Cruz,Republican,204,0.204
Brooklyn,Donald Trump,Republican,313,0.313
Brooklyn,John Kasich,Republican,120,0.12
Brooklyn,Ted Cruz,Republican,57,0.057
Burlington,Donald Trump,Republican,542,0.542
Burlington,John Kasich,Republican,244,0.244
Burlington,Ted Cruz,Republican,117,0.117
Canaan,Donald Trump,Republican,52,0.052
Canaan,John Kasich,Republican,30,0.03
Canaan,Ted Cruz,Republican,13,0.013
Canterbury,Donald Trump,Republican,351,0.351
Canterbury,John Kasich,Republican,84,0.084
Canterbury,Ted Cruz,Republican,85,0.085
Canton,Donald Trump,Republican,595,0.595
Canton,John Kasich,Republican,362,0.362
Canton,Ted Cruz,Republican,142,0.142
Chaplin,Donald Trump,Republican,129,0.129
Chaplin,John Kasich,Republican,38,0.038
Chaplin,Ted Cruz,Republican,30,0.03
Cheshire,Donald Trump,Republican,1364,1.364
Cheshire,John Kasich,Republican,694,0.694
Cheshire,Ted Cruz,Republican,312,0.312
Chester,Donald Trump,Republican,133,0.133
Chester,John Kasich,Republican,103,0.103
Chester,Ted Cruz,Republican,27,0.027
Clinton,Donald Trump,Republican,705,0.705
Clinton,John Kasich,Republican,295,0.295
Clinton,Ted Cruz,Republican,130,0.13
Colchester,Donald Trump,Republican,698,0.698
Colchester,John Kasich,Republican,322,0.322
Colchester,Ted Cruz,Republican,174,0.174
Colebrook,Donald Trump,Republican,97,0.097
Colebrook,John Kasich,Republican,23,0.023
Colebrook,Ted Cruz,Republican,22,0.022
Columbia,Donald Trump,Republican,309,0.309
Columbia,John Kasich,Republican,132,0.132
Columbia,Ted Cruz,Republican,58,0.058
Cornwall,Donald Trump,Republican,54,0.054
Cornwall,John Kasich,Republican,43,0.043
Cornwall,Ted Cruz,Republican,7,0.007
Coventry,Donald Trump,Republican,525,0.525
Coventry,John Kasich,Republican,227,0.227
Coventry,Ted Cruz,Republican,125,0.125
Cromwell,Donald Trump,Republican,632,0.632
Cromwell,John Kasich,Republican,329,0.329
Cromwell,Ted Cruz,Republican,126,0.126
Danbury,Donald Trump,Republican,2096,2.096
Danbury,John Kasich,Republican,651,0.651
Danbury,Ted Cruz,Republican,388,0.388
Darien,Donald Trump,Republican,1070,1.07
Darien,John Kasich,Republican,1284,1.284
Darien,Ted Cruz,Republican,186,0.186
Deep River,Donald Trump,Republican,173,0.173
Deep River,John Kasich,Republican,94,0.094
Deep River,Ted Cruz,Republican,29,0.029
Derby,Donald Trump,Republican,356,0.356
Derby,John Kasich,Republican,59,0.059
Derby,Ted Cruz,Republican,55,0.055
Durham,Donald Trump,Republican,473,0.473
Durham,John Kasich,Republican,224,0.224
Durham,Ted Cruz,Republican,98,0.098
East Granby,Donald Trump,Republican,302,0.302
East Granby,John Kasich,Republican,178,0.178
East Granby,Ted Cruz,Republican,70,0.07
East Haddam,Donald Trump,Republican,496,0.496
East Haddam,John Kasich,Republican,185,0.185
East Haddam,Ted Cruz,Republican,114,0.114
East Hampton,Donald Trump,Republican,574,0.574
East Hampton,John Kasich,Republican,267,0.267
East Hampton,Ted Cruz,Republican,152,0.152
East Hartford,Donald Trump,Republican,688,0.688
East Hartford,John Kasich,Republican,277,0.277
East Hartford,Ted Cruz,Republican,184,0.184
East Haven,Donald Trump,Republican,964,0.964
East Haven,John Kasich,Republican,176,0.176
East Haven,Ted Cruz,Republican,111,0.111
East Lyme,Donald Trump,Republican,853,0.853
East Lyme,John Kasich,Republican,523,0.523
East Lyme,Ted Cruz,Republican,173,0.173
East Windsor,Donald Trump,Republican,406,0.406
East Windsor,John Kasich,Republican,127,0.127
East Windsor,Ted Cruz,Republican,90,0.09
Eastford,Donald Trump,Republican,94,0.094
Eastford,John Kasich,Republican,60,0.06
Eastford,Ted Cruz,Republican,48,0.048
Easton,Donald Trump,Republican,497,0.497
Easton,John Kasich,Republican,288,0.288
Easton,Ted Cruz,Republican,70,0.07
Ellington,Donald Trump,Republican,742,0.742
Ellington,John Kasich,Republican,365,0.365
Ellington,Ted Cruz,Republican,186,0.186
Enfield,Donald Trump,Republican,1518,1.518
Enfield,John Kasich,Republican,539,0.539
Enfield,Ted Cruz,Republican,308,0.308
Essex,Donald Trump,Republican,407,0.407
