county,candidate,party,votes,votesm
Tuscaloosa,Bernie Sanders,Democrat,3444,3.444
Tuscaloosa,Hillary Clinton,Democrat,12136,12.136
Walker,Bernie Sanders,Democrat,727,0.727
Walker,Hillary Clinton,Democrat,1772,1.772
Washington,Bernie Sanders,Democrat,562,0.562
Washington,Hillary Clinton,Democrat,1511,1.511
Wilcox,Bernie Sanders,Democrat,410,0.41
Wilcox,Hillary Clinton,Democrat,3337,3.337
Winston,Bernie Sanders,Democrat,138,0.138
Winston,Hillary Clinton,Democrat,303,0.303
Autauga,Ben Carson,Republican,1764,1.764
Autauga,Donald Trump,Republican,5387,5.387
Autauga,John Kasich,Republican,421,0.421
Autauga,Marco Rubio,Republican,1785,1.785
Autauga,Ted Cruz,Republican,2482,2.482
Baldwin,Ben Carson,Republican,4221,4.221
Baldwin,Donald Trump,Republican,23618,23.618
Baldwin,John Kasich,Republican,2987,2.987
Baldwin,Marco Rubio,Republican,9703,9.703
Baldwin,Ted Cruz,Republican,8571,8.571
Barbour,Ben Carson,Republican,417,0.417
Barbour,Donald Trump,Republican,1710,1.71
Barbour,John Kasich,Republican,123,0.123
Barbour,Marco Rubio,Republican,498,0.498
Barbour,Ted Cruz,Republican,609,0.609
Bibb,Ben Carson,Republican,393,0.393
Bibb,Donald Trump,Republican,1959,1.959
Bibb,John Kasich,Republican,84,0.084
Bibb,Marco Rubio,Republican,444,0.444
Bibb,Ted Cruz,Republican,1011,1.011
Blount,Ben Carson,Republican,1523,1.523
Blount,Donald Trump,Republican,7390,7.39
Blount,John Kasich,Republican,337,0.337
Blount,Marco Rubio,Republican,1843,1.843
Blount,Ted Cruz,Republican,3698,3.698
Bullock,Ben Carson,Republican,47,0.047
Bullock,Donald Trump,Republican,313,0.313
Bullock,John Kasich,Republican,23,0.023
Bullock,Marco Rubio,Republican,64,0.064
Bullock,Ted Cruz,Republican,94,0.094
Butler,Ben Carson,Republican,377,0.377
Butler,Donald Trump,Republican,1720,1.72
Butler,John Kasich,Republican,86,0.086
Butler,Marco Rubio,Republican,427,0.427
Butler,Ted Cruz,Republican,534,0.534
Calhoun,Ben Carson,Republican,2350,2.35
Calhoun,Donald Trump,Republican,8960,8.96
Calhoun,John Kasich,Republican,957,0.957
Calhoun,Marco Rubio,Republican,3251,3.251
Calhoun,Ted Cruz,Republican,3859,3.859
Chambers,Ben Carson,Republican,595,0.595
Chambers,Donald Trump,Republican,2169,2.169
Chambers,John Kasich,Republican,168,0.168
Chambers,Marco Rubio,Republican,595,0.595
Chambers,Ted Cruz,Republican,914,0.914
Cherokee,Ben Carson,Republican,534,0.534
Cherokee,Donald Trump,Republican,2777,2.777
Cherokee,John Kasich,Republican,151,0.151
Cherokee,Marco Rubio,Republican,810,0.81
Cherokee,Ted Cruz,Republican,921,0.921
Chilton,Ben Carson,Republican,1149,1.149
Chilton,Donald Trump,Republican,5273,5.273
Chilton,John Kasich,Republican,218,0.218
Chilton,Marco Rubio,Republican,1436,1.436
Chilton,Ted Cruz,Republican,2328,2.328
Choctaw,Ben Carson,Republican,169,0.169
Choctaw,Donald Trump,Republican,1070,1.07
Choctaw,John Kasich,Republican,68,0.068
Choctaw,Marco Rubio,Republican,315,0.315
Choctaw,Ted Cruz,Republican,451,0.451
Clarke,Ben Carson,Republican,410,0.41
Clarke,Donald Trump,Republican,2308,2.308
Clarke,John Kasich,Republican,125,0.125
Clarke,Marco Rubio,Republican,805,0.805
Clarke,Ted Cruz,Republican,886,0.886
Clay,Ben Carson,Republican,492,0.492
Clay,Donald Trump,Republican,1920,1.92
Clay,John Kasich,Republican,125,0.125
Clay,Marco Rubio,Republican,505,0.505
Clay,Ted Cruz,Republican,836,0.836
Cleburne,Ben Carson,Republican,437,0.437
Cleburne,Donald Trump,Republican,2120,2.12
Cleburne,John Kasich,Republican,106,0.106
Cleburne,Marco Rubio,Republican,598,0.598
Cleburne,Ted Cruz,Republican,928,0.928
Coffee,Ben Carson,Republican,1368,1.368
Coffee,Donald Trump,Republican,4304,4.304
Coffee,John Kasich,Republican,377,0.377
Coffee,Marco Rubio,Republican,1608,1.608
Coffee,Ted Cruz,Republican,2421,2.421
Colbert,Ben Carson,Republican,884,0.884
Colbert,Donald Trump,Republican,3858,3.858
Colbert,John Kasich,Republican,250,0.25
Colbert,Marco Rubio,Republican,1443,1.443
Colbert,Ted Cruz,Republican,1601,1.601
Conecuh,Ben Carson,Republican,137,0.137
Conecuh,Donald Trump,Republican,768,0.768
Conecuh,John Kasich,Republican,17,0.017
Conecuh,Marco Rubio,Republican,141,0.141
Conecuh,Ted Cruz,Republican,208,0.208
Coosa,Ben Carson,Republican,201,0.201
Coosa,Donald Trump,Republican,1233,1.233
Coosa,John Kasich,Republican,66,0.066
Coosa,Marco Rubio,Republican,241,0.241
Coosa,Ted Cruz,Republican,435,0.435
Covington,Ben Carson,Republican,1275,1.275
Covington,Donald Trump,Republican,4608,4.608
Covington,John Kasich,Republican,324,0.324
Covington,Marco Rubio,Republican,1277,1.277
Covington,Ted Cruz,Republican,1773,1.773
Crenshaw,Ben Carson,Republican,286,0.286
Crenshaw,Donald Trump,Republican,1496,1.496
Crenshaw,John Kasich,Republican,70,0.07
Crenshaw,Marco Rubio,Republican,250,0.25
Crenshaw,Ted Cruz,Republican,602,0.602
Cullman,Ben Carson,Republican,2301,2.301
Cullman,Donald Trump,Republican,10618,10.618
Cullman,John Kasich,Republican,558,0.558
Cullman,Marco Rubio,Republican,2832,2.832
Cullman,Ted Cruz,Republican,4248,4.248
Dale,Ben Carson,Republican,1150,1.15
Dale,Donald Trump,Republican,4151,4.151
Dale,John Kasich,Republican,333,0.333
Dale,Marco Rubio,Republican,1194,1.194
Dale,Ted Cruz,Republican,2008,2.008
Dallas,Ben Carson,Republican,46,0.046
Dallas,Donald Trump,Republican,523,0.523
Dallas,John Kasich,Republican,23,0.023
Dallas,Marco Rubio,Republican,76,0.076
Dallas,Ted Cruz,Republican,181,0.181
DeKalb,Ben Carson,Republican,1285,1.285
DeKalb,Donald Trump,Republican,6247,6.247
DeKalb,John Kasich,Republican,325,0.325
DeKalb,Marco Rubio,Republican,2837,2.837
DeKalb,Ted Cruz,Republican,2153,2.153
Elmore,Ben Carson,Republican,2630,2.63
Elmore,Donald Trump,Republican,8525,8.525
Elmore,John Kasich,Republican,634,0.634
Elmore,Marco Rubio,Republican,2387,2.387
Elmore,Ted Cruz,Republican,3236,3.236
Escambia,Ben Carson,Republican,585,0.585
Escambia,Donald Trump,Republican,2817,2.817
Escambia,John Kasich,Republican,194,0.194
Escambia,Marco Rubio,Republican,1028,1.028
Escambia,Ted Cruz,Republican,978,0.978
Etowah,Ben Carson,Republican,2098,2.098
Etowah,Donald Trump,Republican,8657,8.657
Etowah,John Kasich,Republican,616,0.616
Etowah,Marco Rubio,Republican,3155,3.155
Etowah,Ted Cruz,Republican,3891,3.891
Fayette,Ben Carson,Republican,488,0.488
Fayette,Donald Trump,Republican,2479,2.479
Fayette,John Kasich,Republican,124,0.124
Fayette,Marco Rubio,Republican,663,0.663
Fayette,Ted Cruz,Republican,1043,1.043
Franklin,Ben Carson,Republican,388,0.388
Franklin,Donald Trump,Republican,2155,2.155
Franklin,John Kasich,Republican,107,0.107
Franklin,Marco Rubio,Republican,562,0.562
Franklin,Ted Cruz,Republican,892,0.892
Geneva,Ben Carson,Republican,592,0.592
Geneva,Donald Trump,Republican,3106,3.106
Geneva,John Kasich,Republican,146,0.146
Geneva,Marco Rubio,Republican,829,0.829
Geneva,Ted Cruz,Republican,1517,1.517
Greene,Ben Carson,Republican,19,0.019
Greene,Donald Trump,Republican,147,0.147
Greene,John Kasich,Republican,10,0.01
Greene,Marco Rubio,Republican,33,0.033
Greene,Ted Cruz,Republican,59,0.059
Hale,Ben Carson,Republican,88,0.088
Hale,Donald Trump,Republican,590,0.59
Hale,John Kasich,Republican,24,0.024
Hale,Marco Rubio,Republican,132,0.132
Hale,Ted Cruz,Republican,283,0.283
Henry,Ben Carson,Republican,436,0.436
Henry,Donald Trump,Republican,1778,1.778
Henry,John Kasich,Republican,107,0.107
Henry,Marco Rubio,Republican,545,0.545
Henry,Ted Cruz,Republican,847,0.847
Houston,Ben Carson,Republican,2310,2.31
Houston,Donald Trump,Republican,8171,8.171
Houston,John Kasich,Republican,836,0.836
Houston,Marco Rubio,Republican,3683,3.683
Houston,Ted Cruz,Republican,4558,4.558
Jackson,Ben Carson,Republican,1185,1.185
Jackson,Donald Trump,Republican,5463,5.463
Jackson,John Kasich,Republican,310,0.31
Jackson,Marco Rubio,Republican,1847,1.847
Jackson,Ted Cruz,Republican,1791,1.791
Jefferson,Ben Carson,Republican,8368,8.368
Jefferson,Donald Trump,Republican,32853,32.853
Jefferson,John Kasich,Republican,5711,5.711
Jefferson,Marco Rubio,Republican,23132,23.132
Jefferson,Ted Cruz,Republican,22355,22.355
Lamar,Ben Carson,Republican,344,0.344
Lamar,Donald Trump,Republican,1810,1.81
Lamar,John Kasich,Republican,103,0.103
Lamar,Marco Rubio,Republican,466,0.466
Lamar,Ted Cruz,Republican,692,0.692
Lauderdale,Ben Carson,Republican,2151,2.151
Lauderdale,Donald Trump,Republican,7502,7.502
Lauderdale,John Kasich,Republican,983,0.983
Lauderdale,Marco Rubio,Republican,3320,3.32
Lauderdale,Ted Cruz,Republican,3265,3.265
Lawrence,Ben Carson,Republican,733,0.733
Lawrence,Donald Trump,Republican,3604,3.604
Lawrence,John Kasich,Republican,196,0.196
Lawrence,Marco Rubio,Republican,925,0.925
Lawrence,Ted Cruz,Republican,1204,1.204
Lee,Ben Carson,Republican,2460,2.46
Lee,Donald Trump,Republican,6934,6.934
Lee,John Kasich,Republican,1501,1.501
Lee,Marco Rubio,Republican,4734,4.734
Lee,Ted Cruz,Republican,4880,4.88
Limestone,Ben Carson,Republican,2061,2.061
Limestone,Donald Trump,Republican,8198,8.198
Limestone,John Kasich,Republican,746,0.746
Limestone,Marco Rubio,Republican,3602,3.602
Limestone,Ted Cruz,Republican,4082,4.082
Lowndes,Ben Carson,Republican,88,0.088
Lowndes,Donald Trump,Republican,500,0.5
Lowndes,John Kasich,Republican,26,0.026
Lowndes,Marco Rubio,Republican,83,0.083
Lowndes,Ted Cruz,Republican,137,0.137
Macon,Ben Carson,Republican,94,0.094
Macon,Donald Trump,Republican,356,0.356
Macon,John Kasich,Republican,39,0.039
Macon,Marco Rubio,Republican,92,0.092
Macon,Ted Cruz,Republican,147,0.147
Madison,Ben Carson,Republican,6293,6.293
Madison,Donald Trump,Republican,23791,23.791
Madison,John Kasich,Republican,3919,3.919
Madison,Marco Rubio,Republican,17116,17.116
Madison,Ted Cruz,Republican,13622,13.622
Marengo,Ben Carson,Republican,85,0.085
Marengo,Donald Trump,Republican,580,0.58
Marengo,John Kasich,Republican,26,0.026
Marengo,Marco Rubio,Republican,127,0.127
Marengo,Ted Cruz,Republican,228,0.228
